plesalec,plesalka,drzava,kategorija,idplesalca
Robert Preininger,Simona Preininger,Slovenia,Senior II,Robert_Preininger-32468cde-b7b1-4487-9430-9ee401408207
Massimiliano Gerolami,Maria Assunta Polita,Italy,Senior III,Massimiliano_Gerolami-30e82843-23f3-45d5-94a1-a15500f1405d
Ata Erdem Turk,DOGA YURTYERI,Turkey,Junior II,Ata_Erdem_Turk-2a3da642-6c37-4a04-b01b-a11600dc2f14
David Conway Nunn,Gaye Conway Nunn,South Africa,Senior III,David_Conway_Nunn-31914f7e-e853-4b60-827a-a18500ef9986
Ian Walter Damerell,Simona Damerell,South Africa,Senior II,Ian_Walter_Damerell-b9690496-5b83-4eba-a137-a18500f5d93e
Remigio Ruzzante,Mary Bedendo,Italy,Senior II,Remigio_Ruzzante-3a94e041-e0f8-46de-baf8-a12b00b249e9
Roberto Carano,Arianna Gobbi,Italy,Adult,Roberto_Carano-3f1add48-9132-41d6-a71d-a1010043a8d7
Vladislav Veriga,Dina Ibrayeva,Kazakhstan,Adult,Vladislav_Veriga-c773352e-c7b0-4b80-af1c-a01700436357
Bartolome Laville Ferriol,Margarita Llinas Martorell,Spain,Senior III,Bartolome_Laville_Ferriol-12c428ff-ac1a-446a-a866-a18900a06cc6
Michele Scorcia,Antonietta Barbi,Italy,Senior III,Michele_Scorcia-084f3355-3886-498c-bb5c-9e140121167a
Denis Makarov,Ksenia Prokusheva,Russian Federation,Adult,Denis_Makarov-3a852e38-864c-43c9-ae81-9e1401228ed2
francesco ciotoli,Ralica Velichkova,Bulgaria,Adult,francesco_ciotoli-6fdc7811-48d9-4e07-9a15-a16000bcb842
Francisco Javier Otamendi Fenandez,Lourdes Dominguez Guilera,Spain,Senior II,Francisco_Javier_Otamendi_Fenandez-04bd703f-b72f-454d-abbd-9e1401361ed1
Ruben Viciana Lopez,Eva Moya,Spain,Senior I,Ruben_Viciana_Lopez-f2f6c45c-5e52-485a-80c4-9e1401510787
Artem Radaev,Alina Finkelshteyn,Russian Federation,Adult,Artem_Radaev-c00b2a56-06c5-48f1-8df9-a181010c1345
Dmitry Shcherbakov,Julia Zotova,Russian Federation,Adult,Dmitry_Shcherbakov-be5675dc-a0bf-4d94-850a-a181010c0f0c
Javier Rodriguez,Alba Daniel,Spain,Adult,Javier_Rodriguez-07c2139b-975d-4420-8f1a-9e14015ac702
Gianluca Ghisoni,Alice Buschi,Italy,Adult,Gianluca_Ghisoni-d9c0fd22-96d4-429b-b32d-9e14012e422a
Enesio Iudicone,Ylenia Fragione,Italy,Adult,Enesio_Iudicone-1dbe38d1-72bb-44cc-847b-a15700f84c8e
Marco Volpe,Elisabetta Rutigliani,Italy,Adult,Marco_Volpe-dea9edd3-2e88-4509-bab7-a1b300e550eb
Rustam Tagiev,Marina Isaeva,Azerbaijan,Adult,Rustam_Tagiev-58109df1-0af8-4231-96ec-9e140129183d
Kamil Sobczak,Julianna Schmidt,Poland,Adult,Kamil_Sobczak-1e1ec66d-cc8e-4c9c-b009-a1a80181bb82
Pawel Pasterz,Paulina Dudek,Poland,Adult,Pawel_Pasterz-8055c3a6-ed03-459d-ac3a-a19501183630
Alberto Mancini,Patrizia Longo,Italy,Senior IV,Alberto_Mancini-d2545cbf-0fb9-4c19-9ba5-a0f500b7b392
Vaclav Masaryk,Klara Chovancikova,Czech Republic,Adult,Vaclav_Masaryk-400a1a9a-96a7-401c-950d-a193010b3b4a
Martin Mollits,Sofia Romanovski,Estonia,Adult,Martin_Mollits-51c05692-abe6-4669-9e3a-a12600ba9863
Karl Kristian Alasi,Nelli Baljasnaja,Estonia,Adult,Karl_Kristian_Alasi-2228521f-43ca-4aec-99e5-a05a004365dd
Artjom Garbunov,Eliisa Abramova,Estonia,Youth,Artjom_Garbunov-4571a823-dc25-4ce3-81bf-a10a00e43b17
Justas Skara,Vaida Marija Siaulytyte,Lithuania,Youth,Justas_Skara-5efed50e-4568-4cd4-b4a2-a1a30073c243
Konstantin Andriankov,Milena Sevtsova,Estonia,Youth,Konstantin_Andriankov-badb3034-0091-484a-bbee-a14a00dbd671
Merkys Midvikas,Goda Simaityte,Lithuania,Youth,Merkys_Midvikas-b81a7edf-1891-400a-88c3-a19c006a3aba
Andrey Beliaev,Maria Myzdrikova,Russian Federation,Adult,Andrey_Beliaev-90af7d92-553f-4c59-a8d5-9e140137c4dc
Roman Tychkin,Julia Pupysheva,Russian Federation,Adult,Roman_Tychkin-77fd0ed2-57a8-4560-be97-9e14012e61fa
Dmitry Zakutsky,Tatiana Kochetkova,Russian Federation,Adult,Dmitry_Zakutsky-ff2d8b56-37eb-4fd5-8f5c-a181010c16ed
Chaloemchai Kamonchit,Kanjana Dissaman,Thailand,Adult,Chaloemchai_Kamonchit-e83a298e-6f2c-490e-b812-a17000b38e7b
Shinawat Lerson,Krittaporn Manasuth,Thailand,Adult,Shinawat_Lerson-ffc2d0e6-d99c-4464-b15c-9e14015b9eb6
Yauhen Yarmoshka,Darya Yarmoshka,Belarus,Adult,Yauhen_Yarmoshka-7761976e-bdaa-46a5-a680-a137007ca913
Mantas Milkevicius,Austeja Milkeviciute,Lithuania,Adult,Mantas_Milkevicius-936d3a10-bbdb-4b01-acb9-a0d000f1467f
Ricardo Ribeiro,Vanessa Varela,Portugal,Adult,Ricardo_Ribeiro-429cee42-13bf-43c7-9e80-a1bf016899bc
Fabio Andre Pedro Calvo,Ana Rita Fero Carrico,Portugal,Adult,Fabio_Andre_Pedro_Calvo-b1781487-12d3-4cee-88a4-a105017d2d93
Paulo Rafael Almeida,Sara Peixoto,Portugal,Adult,Paulo_Rafael_Almeida-a4f38b3c-4905-466b-81bf-a13e010ad0f7
Pedro Velez,Ana Correia,Portugal,Adult,Pedro_Velez-c160253d-222f-4910-af6f-a050004374ff
Davide Gilioli,Sabrina Grillo,Albania,Adult,Davide_Gilioli-e5922348-95cc-4b14-a7e6-a14300e5387f
Sten Petrov,Melissa Padjus,Estonia,Adult,Sten_Petrov-3b02e8ae-60b1-47f4-ae32-a13f00c10eed
Denis Babusiaux,Colette Fontaine,France,Senior IV,Denis_Babusiaux-1d54ac7e-a1ba-440c-ba30-9e4000e3c5f8
Leopold Cartoni,Louise Liguori,Italy,Senior III,Leopold_Cartoni-732980b0-6ef9-4b08-95e1-a15000d01501
Puttisit Promna,Nattanicha Ittisophonpisarn,Thailand,Adult,Puttisit_Promna-99184cb8-c17f-4d7e-b72e-a17000b1582e
Oleg Kantonistyy,M Angeles Ruiz Lizon,Spain,Adult,Oleg_Kantonistyy-a8bd92d7-2188-4fe4-a45d-9e1401592bd8
Atis Horthong,Chanikarn Kallayawanich,Thailand,Adult,Atis_Horthong-bc957a77-3c98-44c6-8c62-a17000b2c555
Aphichai Promboon,Pakaorn Kuituan,Thailand,Adult,Aphichai_Promboon-c57108e4-bd0e-4b67-b76e-a17000b270f6
Gilles Bailly,Blandine Bailly,France,Senior III,Gilles_Bailly-f2acc529-ea84-4c69-92ec-a1b700acb12a
Enrique Blasco Mena,Margarita Falco Revelles,Spain,Senior II,Enrique_Blasco_Mena-0a82dced-0918-4227-aee8-9ffe00442544
Kevin Lambert,Lisa Bruyand,France,Adult,Kevin_Lambert-49c8593c-bcd1-4043-bfd6-9fa1004426d0
Davit Harutyunyan,Evelina Mnatsakanyan,Armenia,Adult,Davit_Harutyunyan-f9706123-1bef-47a3-b321-a1a5017881df
Mateusz Ostrowski,Marzena Dudek,Poland,Adult,Mateusz_Ostrowski-9c99c7e0-3d67-4feb-b006-9e14012afa6e
Egor Petrov,Anna Argun,Russian Federation,Adult,Egor_Petrov-18dbb20f-9a13-483d-b80b-9e14012ac430
Josef Kukan,Veronika Kulikova,Czech Republic,Adult,Josef_Kukan-baa2f677-5ba8-4512-8a54-9e14012a15ee
Mikolaj Nowoswiat,Karolina Buczek,Poland,Adult,Mikolaj_Nowoswiat-3d244041-bbf5-43de-b8b5-a10900a05bf8
Przemyslaw Materna,Magdalena Liwak,Poland,Adult,Przemyslaw_Materna-071b1abc-f828-46f9-9aa5-9e14013191db
Piotr Prusak,Adrianna Kaczmarzyk,Poland,Adult,Piotr_Prusak-3b9c3829-2e06-4f7a-9a7d-a1950118b012
Juan Martin Sanchez,Sofia Castillo,Ecuador,Adult,Juan_Martin_Sanchez-1398251d-2710-4d69-9d3d-a191003ab2ae
Javier Chancusig,Sara Cisneros,Ecuador,Adult,Javier_Chancusig-92cb7977-d8ef-4b26-9f2a-a1900129856e
Christopher Mejia,Camila Arboleda,Ecuador,Adult,Christopher_Mejia-7030644c-fe2a-4b80-8782-a18a00f8e14e
Jonathan Bajana,Jimena Romero,Ecuador,Adult,Jonathan_Bajana-6e5ba227-53f7-4808-952a-9f57004411bc
Esteban Fabian Acosta Munoz,Milena Salome Romero Teran,Ecuador,Youth,Esteban_Fabian_Acosta_Munoz-3da6b4d2-aa8a-4077-ab42-a18d0165c039
Nikolay Voronoy,Alla Voronoi,Estonia,Senior III,Nikolay_Voronoy-f6aa797f-f7e5-4d57-8301-9e4000e3c56c
Tomasz Smolinski,Agnieszka Czaplicka,Poland,Adult,Tomasz_Smolinski-0a0a3690-28aa-4573-986b-a1880114831a
Jan Golebiowski,Agnieszka Banaszek,Poland,Senior III,Jan_Golebiowski-d816e4ad-7576-46de-b792-a1d60091c6e3
Nigel Kukulka,Margaret Kukulka,Australia,Senior III,Nigel_Kukulka-a7c03a03-2ebc-43de-b597-a1ba0029bb9d
Kamil Chmiel,Joanna Sawula,Poland,Adult,Kamil_Chmiel-7afe658b-009a-42a1-b40e-a1950117596c
Massimiliano Mura,Ana Maria Moscaliova,Moldova,Adult,Massimiliano_Mura-6799b104-8a75-4e83-9ed0-a16d00bebe03
Giounis Aliev,Ekaterina Bychkovskaya,Azerbaijan,Adult,Giounis_Aliev-39819411-986d-4671-8cfd-a181016cd9d7
Evgeny Mikhaylov,Anna Griger,Russian Federation,Adult,Evgeny_Mikhaylov-b3975181-14c5-4c67-913a-a181010c0f52
EREN OZYIGIT,SERENAY BUYUKKAPUCU,Turkey,Junior I,EREN_OZYIGIT-6cf07f22-d455-4cb2-b921-a10200a01ffc
Leho Holm,Marleen Lutter,Estonia,Junior II,Leho_Holm-43b95cdc-0a73-42c1-a381-a10a00e19205
Bogdan Raicu,Lavinia Gheorghita,Romania,Adult,Bogdan_Raicu-9d2b80a0-5cf7-4a9d-accd-a181012f1b3b
Matei Florin Cristian,Stan Andreea-Alexandra,Romania,Adult,Matei_Florin_Cristian-747e27f0-606d-4835-9a57-a14b0169c11c
Edward Andrew Drog,Claire Nicole Pop,Romania,Adult,Edward_Andrew_Drog-94a5d57e-5d4f-428a-9873-a14b0161dbc1
Alexandru Comsa,Valentina-Georgiana Talpeanu,Romania,Adult,Alexandru_Comsa-48678a42-5251-4efb-b28f-a1ab010b439a
Keisuke Nishimoto,Mari Saito,Japan,Adult,Keisuke_Nishimoto-9fc1c7bd-c6e0-4b91-9698-a1e10083bc8e
Yuji Hiroshima,Ayami Suzuki,Japan,Adult,Yuji_Hiroshima-9bf67ce9-4b78-42ab-bf75-a189004786ca
Keanan Granville McCune,Micaela Loots,South Africa,Adult,Keanan_Granville_McCune-121f69c2-6bc8-4597-879b-a18500f29931
Stanislav Pavlov,Jessica Karpishin,United States,Adult,Stanislav_Pavlov-ac3de543-f926-45e9-8080-a1e40145224e
Yuriy Nartov,Yuliya Blagova,United States,Adult,Yuriy_Nartov-01943844-a500-4cf2-8e2f-a1a50035acd9
Thanaphong Imsombun,Pandari Charoenthai,Thailand,Adult,Thanaphong_Imsombun-8a118955-e9eb-4c3f-b657-a17000b275d8
Chainuwat Sangkat,Sasiwan Nareusajayarn,Thailand,Adult,Chainuwat_Sangkat-c76729c4-dda6-494b-95bb-a17000b3bcc4
Worawit Pradittakarn,Penpitchaya Manoppong,Thailand,Adult,Worawit_Pradittakarn-e9056910-997d-4f24-92f1-a17000b2d3aa
Chatchai Suwanich,Tanyalak Lampandaeng,Thailand,Adult,Chatchai_Suwanich-848af6d8-1bf4-4ff0-aade-a17000b25755
Jetsadakorn Khwankhao,Penticha Sangket,Thailand,Adult,Jetsadakorn_Khwankhao-c208d914-5cd6-48fd-9ab3-a17000b2e096
Dat Tuan Nguyen,Huong Phan Nguyen Quynh,Vietnam,Adult,Dat_Tuan_Nguyen-675380d3-da4d-4220-bd2a-a18800ab1236
Ruttanun Sriruttanaaram,Meenna Supprapassorn,Thailand,Adult,Ruttanun_Sriruttanaaram-ff5d4a81-0d33-4b77-b9a6-a17000b13095
Minh Luan Huynh,Ong Thi Phuong Oanh,Vietnam,Adult,Minh_Luan_Huynh-914fec61-9016-4afc-8eec-a1eb00d4e36f
Sebastian Apostolescu,Anda Raducan,Romania,Adult,Sebastian_Apostolescu-e4542c7d-d6f3-4fbc-a7f1-9e1401232732
Pawatpong Racha-Apai,Thitiyapa Potimu,Thailand,Adult,Pawatpong_Racha-Apai-9939b630-1c6e-4aa2-afdc-a17000b534c2
Patipat Kaew-udom,Pimanmas Kaewudom,Thailand,Adult,Patipat_Kaew-udom-7991b67e-61c0-4d5f-a051-a17000b2859f
Andrei Ciurea,Ana Maria Marin,Romania,Adult,Andrei_Ciurea-be1727b8-9384-416b-8c91-a0540043703a
Adrian Gabriel Dragan,Mihaela Alistarh,Romania,Adult,Adrian_Gabriel_Dragan-873671c4-18f9-422f-8d3b-a181012f74c6
Matej Butula,Barbora Nesvadbova,Czech Republic,Youth,Matej_Butula-0e468bce-2d29-4ba9-a6eb-a0f40043b63a
Paul Florian Dana,Beatrice Stefana Iacob,Romania,Youth,Paul_Florian_Dana-e048e7b0-7321-4d5b-96a2-a1a50095f574
Arkadiy Hulovskyy,Yana Mykytyuk,Ukraine,Youth,Arkadiy_Hulovskyy-e89425c9-6ebc-457d-86b3-a22e00a4fcd3
Serhiy Shushvar,Anna Huryk,Ukraine,Youth,Serhiy_Shushvar-62d976fd-08de-4fdd-8d57-a22e00a4ea78
Tamas Kariko-Toth,Evelyn Szaraz,Hungary,Adult,Tamas_Kariko-Toth-b2e28157-b9a5-4748-9d72-a1400105b985
Heorhiy Kushnirenko,Julia Nikitina,Ukraine,Adult,Heorhiy_Kushnirenko-92f4c959-747f-49c3-97ae-9f75010e37c0
Egor Kosiakov,Anastasiya Belmach,Belarus,Adult,Egor_Kosiakov-62deb807-807e-4aee-9266-9e4000e3c205
Vladimir Fedorov,Daria Kozlova,Russian Federation,Adult,Vladimir_Fedorov-23701b61-986d-4f09-afdf-9e1401601bfd
Yury Hutyrchyk,Sviatlana Harnouskaya,Belarus,Adult,Yury_Hutyrchyk-7dd02f91-f004-493e-9c78-a21c00708806
Mihail Maidaniuk,Olga Shymanskaya,Belarus,Junior II,Mihail_Maidaniuk-20d6ca8a-15d5-4c1a-a45f-a137007ab602
Aliaksandr Rudyi,Yanina Miadzvedz,Belarus,Youth,Aliaksandr_Rudyi-d456d237-96e5-42b0-997f-a14100d4d449
Yauheni Lahoikin,Yelizaveta Karobkina,Belarus,Junior II,Yauheni_Lahoikin-2f6926f4-2bb4-4296-9674-a1a500d8db88
Kanstantsin Zaitsau,Vita Maladtsova,Belarus,Youth,Kanstantsin_Zaitsau-3ed71411-d27e-4e35-a798-a17b01573982
Mikhail Kuzniatsou,Vasilisa Zaitsava,Belarus,Youth,Mikhail_Kuzniatsou-5da1c655-7ef7-45e5-93b6-a176008849e0
Siarhei Buldyk,Ekaterina Khranovskaya,Belarus,Adult,Siarhei_Buldyk-66bac753-ed91-4375-a02c-a17400efc62f
Pavel Iovenko,Alina Vasilenko,Belarus,Youth,Pavel_Iovenko-423c0e19-bb8d-4044-98d6-a1fb0131f721
Pavel Ksionzhyk,Hanna Yauseyeva,Belarus,Youth,Pavel_Ksionzhyk-10cb47db-0d69-41f4-8af6-a13701444b0b
Andrei Kobryk,Iryna Klebaniuk,Belarus,Youth,Andrei_Kobryk-764ac0c8-c25c-47ab-9cd3-a1a500e287d0
Sebastian Mititelu,Ursu Virginia,Romania,Adult,Sebastian_Mititelu-fbc5a30f-be03-48f6-87b6-9ed100430070
Andrei - Tudor Zatreanu,Oana Constantin,Romania,Adult,Andrei_-_Tudor_Zatreanu-b6d2aef2-014b-4760-a712-a14b01694861
Rares Alexandru Macovei,Madalina-Gabriela Sauleac,Romania,Youth,Rares_Alexandru_Macovei-27ceca93-6c92-4ab5-8b5a-a1f7014fa071
Stefan Popa,Georgiana Petronela Dimitrescu,Romania,Youth,Stefan_Popa-a935d983-9af9-4254-80bd-a1f7014f8b99
Li Huan Stefan,Andra Frinculescu,Romania,Adult,Li_Huan_Stefan-4a14d10e-7cad-4d71-8c0d-a14b016fe2e0
Adrian Dragan,Ana-Maria Georgescu,Romania,Adult,Adrian_Dragan-69d7cc9c-941c-40ab-9d59-a23b0177b08e
Nikita Kaliaev,Polina Ukraintseva,Russian Federation,Youth,Nikita_Kaliaev-653c3456-5221-4ff1-9edb-a1dd00d68ba8
Alexandr Garmider,Julia Garmider,Russian Federation,Adult,Alexandr_Garmider-38133777-7bda-441e-b5e1-9e14012f1c93
Vladimir Berulava,Maria Zaditovskaya,Russian Federation,Adult,Vladimir_Berulava-d2f8dc56-39a6-4870-b84a-9e1401236e6b
Vladimir Kuzmin,Ksenia Kuzmina,Russian Federation,Adult,Vladimir_Kuzmin-07a8a0b4-d0d8-4003-b603-9e1401214850
Grigory Parygin,Alisa Prokopenko,Russian Federation,Adult,Grigory_Parygin-bf736f11-3270-441c-a5aa-a181010c1580
Alex Claudiu Lazea,Krista Valu,Romania,Junior II,Alex_Claudiu_Lazea-847ef44f-7ffd-4879-aabd-a1d201305e60
Darko Maslarkov,Melani Korkoska,Macedonia,Youth,Darko_Maslarkov-5c22bc25-9dfb-40b0-8f38-a24300dabed7
Fabian Ardeiu,Andreea Raluca Manea,Romania,Youth,Fabian_Ardeiu-3a246460-f45c-4d47-877a-a1c200cae1de
Brando Koch,Helena Zinic,Croatia,Youth,Brando_Koch-1ee3e605-87de-4a74-9a81-9eb4005338f9
Petreus Daniel,Mitru Bettina,Romania,Adult,Petreus_Daniel-b23590cc-2f8d-44d1-a5f0-a19e013435ca
Deni Alic,Rea Sutovic,Bosnia and Herzegovina,Junior II,Deni_Alic-3be38c73-0503-4ed2-bf16-a243013c2e96
Attila Norbert Metz,Cristina Maria Cordun,Romania,Youth,Attila_Norbert_Metz-7d16e079-2985-4878-92f9-a1a50095a152
Filip Sulak,Kristina Corbova,Slovakia,Adult,Filip_Sulak-706f1bcd-22ab-4bbd-a2c6-9f81004382e3
Raymond Chiu,Aimee Lee,Australia,Senior II,Raymond_Chiu-2a0dbc94-c112-4211-90dd-a1a40041ec59
Catalin Ilie Balta,Teodora Andra Ghita,Romania,Adult,Catalin_Ilie_Balta-10a9d40f-7829-4987-9656-a14b0169af9d
Tiberiu Alex Irinel Sosea,Adina Valentina Mitru,Romania,Adult,Tiberiu_Alex_Irinel_Sosea-a8093c60-29b0-4377-855b-a14b0169ffd5
Vlad Prudkin,Diana Grygorova,Ukraine,Adult,Vlad_Prudkin-3f8742e6-f06d-4816-bf1b-a0070174ed3c
Dmytro Zruynovanyy,Veronika Yurkovska,Ukraine,Adult,Dmytro_Zruynovanyy-7214a827-8ff0-44f1-bd70-9ef700e0c9a1
Yevgen Dmytrenko,Mery Lenz,Argentina,Adult,Yevgen_Dmytrenko-ac98d5cc-795b-4191-abdf-a1b30153d479
Giovany Alberto Valencia Achuri,Nadezhda Machok,Colombia,Senior I,Giovany_Alberto_Valencia_Achuri-3fb693f6-0b40-4c51-974d-a23e01454cac
Ricardo Adrian Freire,Shely Anahi Castillo Suarez,Ecuador,Adult,Ricardo_Adrian_Freire-cd730390-11b3-4cac-a074-a191004013c5
Mario Javier Mendez Ortiz,Leonor Beatriz Perez Herrera,Chile,Senior I,Mario_Javier_Mendez_Ortiz-cd18b577-c292-41ba-b0d8-a21400fe1d68
Vladislav Urentsev,Alexandra Bogdanova,Russian Federation,Adult,Vladislav_Urentsev-ef4cd05a-3465-40e7-9a31-a24301273166
Valentin Dmitriev,Daria Efimova,Russian Federation,Adult,Valentin_Dmitriev-db63befb-7c11-4f3c-b290-a24301178d95
Alexey Lezin,Alia Rdeini,Russian Federation,Adult,Alexey_Lezin-dcaf3f3d-e0f8-4f82-8b2a-a243011797e0
Dmitry Smetankin,Natalia Philippova,Russian Federation,Adult,Dmitry_Smetankin-3b492728-4c34-46fc-aacd-9e14015b5765
Nikita Sokolov,Ingrid Alimina,Russian Federation,Adult,Nikita_Sokolov-6899200d-7605-4bb7-a1db-9e140120eb72
Alexandr Mitronin,Anzhelika Mitronina,Russian Federation,Youth,Alexandr_Mitronin-cd5bc068-9fc9-411e-ac2d-a181010c18d3
Ivan Isakov,Maria Maydanichenko,Russian Federation,Youth,Ivan_Isakov-8516a5c2-03b9-4d1d-aa0f-a181010c070a
Daniel Boruvka,Barbora Boruvkova,Czech Republic,Junior I,Daniel_Boruvka-e757ebd9-1617-407c-82c3-a1c700e42cd3
Daniil Yurov,Julia Bogdanova,Russian Federation,Adult,Daniil_Yurov-0b6f8012-2c91-4d47-bb97-9e1401228e32
Mateusz Szczepaniak,Izabela Borecka,Poland,Youth,Mateusz_Szczepaniak-01c13068-2335-43c3-ac6c-a253007acff8
Simon Novak,Tereza Durtova,Slovakia,Junior II,Simon_Novak-0c8f9b54-fe04-40fb-a68c-a244015ae6c4
Mario Cecinati,Rosaria Messina Denaro,Italy,Adult,Mario_Cecinati-51883137-f635-4029-93d4-9e14012303a8
Nikita Evstafiev,Elizaveta Demianova,Russian Federation,Adult,Nikita_Evstafiev-8b149320-6c43-4731-9316-9ea400431626
Aliaksandr Lysionak,Maryia Salauyova,Belarus,Adult,Aliaksandr_Lysionak-e597bc51-fe37-43d6-9652-a13f014d89c7
Stoica Sebastian Andreas,Maria - Flavia Maresi,Romania,Adult,Stoica_Sebastian_Andreas-f9deb652-16e6-46a3-9a6d-9fac0043e6fd
Cristian - Alexandru Panduru,Amira - Cristina Anica,Romania,Adult,Cristian_-_Alexandru_Panduru-376d83ec-9f1a-455a-9de4-a18e00f1bcdb
Jakub Fraszczak,Alicja Pawlowska,Poland,Adult,Jakub_Fraszczak-e6e49885-5b84-4978-bc80-a25901347db9
Dzmitry Matskevich,Serafima Haiduk,Belarus,Youth,Dzmitry_Matskevich-41ada3db-62ea-4c19-9ed8-a1fb01317571
Samu Rasila,Iida Johansson,Finland,Youth,Samu_Rasila-679e8920-2889-420c-bdd3-a20d00a44dc8
Lauri Hemmila,Senja Sievanen,Finland,Adult,Lauri_Hemmila-5b7a630c-ddbb-41e0-a90e-a21500acd3b5
Verneri Hietanen,Eveliina Makela,Finland,Adult,Verneri_Hietanen-3d69f988-b258-422d-9eed-9f45007b0ca8
Aleksi Makirinne,Annika Vainio,Finland,Adult,Aleksi_Makirinne-3c58683b-8501-4471-ad82-a21a009a251d
Robert Lagerstrom,Juulia Tuominen,Finland,Adult,Robert_Lagerstrom-207f9127-ad2a-425e-ac00-a13400b35378
Robert Leht,Mirjam Koch,Estonia,Youth,Robert_Leht-ab91b5a1-7bc1-4eba-a8aa-a17900da4898
Topi Kauppi,Linda Pukari,Finland,Junior II,Topi_Kauppi-eb581f56-80ca-473d-92a7-a20d00a42339
Otto Stahlberg,Saara Stahlberg,Finland,Youth,Otto_Stahlberg-c3751c6f-2747-4a05-8941-a213009e4bd5
Ivan Turbasov,Olga Nayanova,Russian Federation,Adult,Ivan_Turbasov-748d95ce-7e07-4434-a149-9e140127da58
Balazs David,Rusanovschi Laura,Romania,Adult,Balazs_David-b59028cf-7bc9-4dce-850f-a25a00df318a
Xavi Fonolla Sopena,Rutt Metusala,Spain,Adult,Xavi_Fonolla_Sopena-4e641eec-752d-4e62-ae84-9e14015b9737
Vladimir Girzha,Elizaveta Yakovleva,Russian Federation,Youth,Vladimir_Girzha-27754723-1927-43ce-8fdf-a1cd00ee3506
Daniil Bochkarev,Uljana Redchits,Estonia,Youth,Daniil_Bochkarev-b8e85d81-a295-4654-9cbb-a12600ba8baa
Alphan Silan,Aleyna Duzakar,Turkey,Youth,Alphan_Silan-c9e7cc82-fd89-44fa-9dc9-a15700b5a049
Roman Shishkin,Jessica Duret,France,Adult,Roman_Shishkin-15fbdca0-69b7-4f3b-ae5b-a10a0043e44b
Georgi Angelov Ganev,Mariya Angelova,Bulgaria,Adult,Georgi_Angelov_Ganev-6f37f772-b6e8-48ec-b1ea-a16000bc277d
Darol Garchev,Yvette Rousseau,Australia,Senior II,Darol_Garchev-4c4a2755-3a93-47e7-a509-a228004184e2
Paul Zaidman,Cheryl Smith,Australia,Senior II,Paul_Zaidman-cd78bd95-190b-4529-acc1-a25f000c4559
Klemens Hofer,Barbara Westermayer,Austria,Adult,Klemens_Hofer-4fcd3dc4-f359-4e33-867c-9e1401248b01
Isufi Xhon,Matilde Giai Baudissard,Albania,Adult,Isufi_Xhon-1a627696-f5ba-4405-ac80-9e14012c5b06
Roman Mirzaev,Polina Kozhina,Russian Federation,Adult,Roman_Mirzaev-9ae16747-2e02-489b-80f5-a1e10112bbb9
Pavel Soldatenkov,Sofia Kalugina,Russian Federation,Adult,Pavel_Soldatenkov-5af8b07e-e989-47c6-9412-a1ee0079f0bd
